k,recall_pre_reject,recall_post_reject
1,1.0000,0.2066
2,1.0000,0.3697
4,1.0000,0.5100
8,1.0000,0.6329
16,1.0000,0.7389
32,1.0000,0.8220
64,1.0000,0.8799
